No.	Player	Pos	Ht	Wt	Birth Date	Birth Country	Exp	College
2	Steve Blake	PG	6-3	172	February 26, 1980	US	6	Maryland
6	Bobby Brown	PG	6-2	175	September 24, 1984	US	1	California State University, Fullerton
45	Rasual Butler	SF	6-7	215	May 23, 1979	US	7	La Salle
23	Marcus Camby	PF	6-11	220	March 22, 1974	US	13	UMass
25	Mardy Collins	SG	6-6	220	August 4, 1984	US	3	Temple
44	JamesOn Curry	PG	6-3	190	January 7, 1986	US	0	Oklahoma State
1	Baron Davis	PG	6-3	209	April 13, 1979	US	10	UCLA
31	Ricky Davis	SF	6-6	195	September 23, 1979	US	11	Iowa
0	Drew Gooden	PF	6-10	250	September 24, 1981	US	7	Kansas
10	Eric Gordon	SG	6-4	215	December 25, 1988	US	1	Indiana
9	DeAndre Jordan	C	6-11	265	July 21, 1988	US	1	Texas A&M
35	Chris Kaman	C	7-0	265	April 28, 1982	US	6	Central Michigan University
20	Steve Novak	SF	6-10	225	June 13, 1983	US	3	Marquette
34	Travis Outlaw	SF	6-9	210	September 18, 1984	US	6	
21	Kareem Rush	SG	6-6	215	October 30, 1980	US	6	Missouri
8	Brian Skinner	PF	6-9	255	May 19, 1976	US	11	Baylor
5	Craig Smith	PF	6-7	250	November 10, 1983	US	3	Boston College
3	Sebastian Telfair	PG	6-0	165	June 9, 1985	US	5	
12	Al Thornton	SF	6-8	220	December 7, 1983	US	2	Florida State
